iter	Logloss
0	0.6006768429
1	0.5257494073
2	0.486774288
3	0.4632259102
4	0.4213092376
5	0.3861794136
6	0.3603702683
7	0.3386107458
8	0.3164622735
9	0.2955547773
10	0.2806253517
11	0.2638434884
12	0.2483526474
13	0.2403371208
14	0.230520993
15	0.2295480308
16	0.22091434
17	0.2198689051
18	0.2100316674
19	0.202383044
20	0.1915237671
21	0.1848152267
22	0.1804769234
23	0.1726030357
24	0.1660297012
25	0.1585535839
26	0.1504232877
27	0.1443398199
28	0.1396715457
29	0.1341936274
30	0.1304287755
31	0.1260982382
32	0.1229048723
33	0.1228518982
34	0.119456411
35	0.1192157872
36	0.1158568487
37	0.113992978
38	0.1100961755
39	0.1066108303
40	0.1037240367
41	0.1006783781
42	0.09742361126
43	0.09738103105
44	0.09373600019
45	0.09362104406
46	0.09122934986
47	0.08844104438
48	0.08798344182
49	0.08536828098
50	0.08340993121
51	0.08138344983
52	0.07844043563
53	0.07651886907
54	0.07421756982
55	0.07131985129
56	0.06955847857
57	0.0669183382
58	0.06478356243
59	0.06258839529
60	0.06103988349
61	0.05941864884
