iter	Passed	Remaining
0	3	1778
1	9	2582
2	10	1982
3	14	1979
4	21	2320
5	37	3408
6	49	3826
7	63	4269
8	75	4522
9	89	4834
10	96	4733
11	102	4615
12	110	4556
13	123	4734
14	133	4759
15	134	4501
16	141	4431
17	143	4229
18	150	4214
19	154	4105
20	159	4029
21	164	3956
22	171	3918
23	176	3871
24	182	3830
25	188	3792
26	194	3759
27	199	3722
28	205	3699
29	212	3683
30	216	3621
31	222	3596
32	225	3528
33	228	3463
34	232	3421
35	235	3361
36	239	3320
37	246	3314
38	250	3276
39	254	3247
40	260	3234
41	265	3210
42	270	3191
43	271	3126
44	277	3116
45	278	3055
46	284	3040
47	289	3028
48	292	2989
49	296	2969
50	302	2958
51	305	2926
52	311	2923
53	316	2906
54	322	2899
55	327	2890
56	333	2884
57	338	2867
58	342	2852
59	348	2842
60	351	2817
61	355	2796
